TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 3 LONCO_001
Start Date:,19-08-2024
Start Time:,20:02:44
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,69
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,0.000
,Time of Minimum:,20:02:45
,Date of Minimum:,19-08-2024
,Maximum:,0.001
,Time of Maximum:,20:03:01
,Date of Maximum:,19-08-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
19-08-2024,20:40:37,0.052
19-08-2024,20:40:38,0.051
19-08-2024,20:40:39,0.048
19-08-2024,20:40:40,0.042
19-08-2024,20:40:41,0.040
19-08-2024,20:40:42,0.039
19-08-2024,20:40:43,0.037
19-08-2024,20:40:44,0.037
19-08-2024,20:40:45,0.036
19-08-2024,20:40:46,0.036
19-08-2024,20:40:47,0.037
19-08-2024,20:40:48,0.037
19-08-2024,20:40:49,0.036
19-08-2024,20:40:50,0.035
19-08-2024,20:40:51,0.035
19-08-2024,20:40:52,0.033
19-08-2024,20:40:53,0.031
19-08-2024,20:40:54,0.034
19-08-2024,20:40:55,0.035
19-08-2024,20:40:56,0.034
19-08-2024,20:40:57,0.035
19-08-2024,20:40:58,0.037
19-08-2024,20:40:59,0.036
19-08-2024,20:41:00,0.034
19-08-2024,20:41:01,0.035
19-08-2024,20:41:02,0.035
19-08-2024,20:41:03,0.035
19-08-2024,20:41:04,0.037
19-08-2024,20:41:05,0.038
19-08-2024,20:41:06,0.039
19-08-2024,20:41:07,0.040
19-08-2024,20:41:08,0.042
19-08-2024,20:41:09,0.043
19-08-2024,20:41:10,0.050
19-08-2024,20:41:11,0.061
19-08-2024,20:41:12,0.052
19-08-2024,20:41:13,0.038
19-08-2024,20:41:14,0.039
19-08-2024,20:41:15,0.039
19-08-2024,20:41:16,0.036
