TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 3 LONCO_001
Start Date:,26-09-2024
Start Time:,20:56:04
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,64
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,-0.001
,Time of Minimum:,20:56:06
,Date of Minimum:,26-09-2024
,Maximum:,0.003
,Time of Maximum:,20:56:36
,Date of Maximum:,26-09-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
26-09-2024,21:33:38,0.104
26-09-2024,21:33:39,0.112
26-09-2024,21:33:40,0.110
26-09-2024,21:33:41,0.107
26-09-2024,21:33:42,0.110
26-09-2024,21:33:43,0.108
26-09-2024,21:33:44,0.098
26-09-2024,21:33:45,0.089
26-09-2024,21:33:46,0.085
26-09-2024,21:33:47,0.085
26-09-2024,21:33:48,0.085
26-09-2024,21:33:49,0.083
26-09-2024,21:33:50,0.081
26-09-2024,21:33:51,0.083
26-09-2024,21:33:52,0.081
26-09-2024,21:33:53,0.078
26-09-2024,21:33:54,0.077
26-09-2024,21:33:55,0.076
26-09-2024,21:33:56,0.076
26-09-2024,21:33:57,0.075
26-09-2024,21:33:58,0.081
26-09-2024,21:33:59,0.082
26-09-2024,21:34:00,0.084
26-09-2024,21:34:01,0.086
26-09-2024,21:34:02,0.084
26-09-2024,21:34:03,0.079
26-09-2024,21:34:04,0.081
26-09-2024,21:34:05,0.082
26-09-2024,21:34:06,0.072
26-09-2024,21:34:07,0.066
26-09-2024,21:34:08,0.068
26-09-2024,21:34:09,0.071
26-09-2024,21:34:10,0.070
26-09-2024,21:34:11,0.067
26-09-2024,21:34:12,0.188
26-09-2024,21:34:13,0.219
26-09-2024,21:34:14,0.093
26-09-2024,21:34:15,0.089
26-09-2024,21:34:16,0.090
