FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
240825;0200;;85;;
240825;0300;;78;;
240825;0400;;55;;
240825;0500;;62;;
240825;0600;;40;;
240825;0700;;42;;
240825;0800;;65;;
240825;0900;;3;;
240825;1000;;3;;
240825;1100;;5;;
240825;1200;;12;;
240825;1300;;11;;
240825;1400;;22;;
240825;1500;;10;;
240825;1600;;20;;
240825;1700;;19;;
240825;1800;;42;;
240825;1900;;89;;
240825;2000;;134;;
240825;2100;;84;;
240825;2200;;15;;
240825;2300;;16;;
240826;0000;;14;;
240826;0100;;9;;
240826;0200;;9;;
240826;0300;;12;;
240826;0400;;19;;
240826;0500;;13;;
240826;0600;;14;;
240826;0700;;18;;
240826;0800;;20;;
240826;0900;;21;;
240826;1000;;13;;
240826;1100;;20;;
240826;1200;;19;;
240826;1300;;15;;
240826;1400;;14;;
240826;1500;;15;;
240826;1600;;26;;
240826;1700;;35;;
240826;1800;;73;;
240826;1900;;80;;
240826;2000;;100;;
240826;2100;;84;;
240826;2200;;266;;
240826;2300;;153;;
240827;0000;;76;;
240827;0100;;39;;
240827;0200;;21;;
240827;0300;;18;;
240827;0400;;18;;
240827;0500;;12;;
240827;0600;;10;;
240827;0700;;24;;
240827;0800;;24;;
240827;0900;;19;;
240827;1000;;14;;
240827;1100;;17;;
240827;1200;;17;;
240827;1300;;9;;
240827;1400;;11;;
240827;1500;;11;;
240827;1600;;17;;
240827;1700;;27;;
240827;1800;;33;;
240827;1900;;32;;
240827;2000;;36;;
240827;2100;;27;;
240827;2200;;29;;
240827;2300;;18;;
240828;0000;;18;;
240828;0100;;17;;
240828;0200;;13;;
240828;0300;;13;;
240828;0400;;10;;
240828;0500;;7;;
240828;0600;;14;;
240828;0700;;16;;
240828;0800;;21;;
240828;0900;;21;;
240828;1000;;16;;
240828;1100;;15;;
240828;1200;;14;;
240828;1300;;13;;
240828;1400;;12;;
240828;1500;;12;;
240828;1600;;12;;
240828;1700;;17;;
240828;1800;;25;;
240828;1900;;22;;
240828;2000;;26;;
240828;2100;;27;;
240828;2200;;23;;
240828;2300;;16;;
240829;0000;;18;;
240829;0100;;14;;
240829;0200;;11;;
240829;0300;;7;;
240829;0400;;8;;
240829;0500;;14;;
240829;0600;;11;;
240829;0700;;22;;
240829;0800;;28;;
240829;0900;;22;;
240829;1000;;1;;
240829;1100;;6;;
240829;1200;;4;;
240829;1300;;1;;
240829;1400;;1;;
240829;1500;;3;;
240829;1600;;6;;
240829;1700;;7;;
240829;1800;;9;;
240829;1900;;9;;
240829;2000;;8;;
240829;2100;;9;;
240829;2200;;11;;
240829;2300;;13;;
240830;0000;;12;;
240830;0100;;25;;
240830;0200;;19;;
240830;0300;;40;;
240830;0400;;36;;
240830;0500;;37;;
240830;0600;;26;;
240830;0700;;58;;
240830;0800;;23;;
240830;0900;;32;;
240830;1000;;24;;
240830;1100;;27;;
240830;1200;;33;;
240830;1300;;25;;
240830;1400;;35;;
240830;1500;;27;;
240830;1600;;36;;
240830;1700;;29;;
240830;1800;;49;;
240830;1900;;227;;
240830;2000;;259;;
240830;2100;;171;;
240830;2200;;191;;
240830;2300;;140;;
240831;0000;;165;;
240831;0100;;109;;
240831;0200;;116;;
240831;0300;;78;;
240831;0400;;37;;
240831;0500;;35;;
240831;0600;;60;;
240831;0700;;68;;
240831;0800;;80;;
240831;0900;;48;;
240831;1000;;19;;
240831;1100;;16;;
240831;1200;;13;;
240831;1300;;16;;
240831;1400;;12;;
240831;1500;;11;;
240831;1600;;20;;
240831;1700;;28;;
240831;1800;;65;;
240831;1900;;217;;
240831;2000;;193;;
240831;2100;;222;;
240831;2200;;319;;
240831;2300;;243;;
240901;0000;;179;;
240901;0100;;57;;
240901;0200;;25;;
240901;0300;;22;;
240901;0400;;22;;
240901;0500;;17;;
240901;0600;;24;;
240901;0700;;27;;
240901;0800;;19;;
240901;0900;;33;;
240901;1000;;31;;
240901;1100;;36;;
240901;1200;;48;;
240901;1300;;42;;
240901;1400;;40;;
240901;1500;;35;;
240901;1600;;29;;
240901;1700;;28;;
240901;1800;;24;;
240901;1900;;19;;
240901;2000;;23;;
240901;2100;;22;;
240901;2200;;9;;
240901;2300;;12;;
240902;0000;;10;;
240902;0100;;10;;
240902;0200;;8;;
240902;0300;;8;;
240902;0400;;6;;
240902;0500;;6;;
240902;0600;;11;;
240902;0700;;15;;
240902;0800;;12;;
240902;0900;;15;;
240902;1000;;17;;
240902;1100;;20;;
240902;1200;;17;;
240902;1300;;13;;
240902;1400;;28;;
240902;1500;;17;;
240902;1600;;12;;
240902;1700;;22;;
240902;1800;;39;;
240902;1900;;46;;
240902;2000;;44;;
